protein	TBX21
protein	BATF3
protein	UniProt:Q9H0R5
protein	FOXP3
protein	ITCH
protein	RNF128
protein	IRF4
protein	PTPRK
protein	NFATC2
protein	IKZF1
protein	CBLB
protein	NFATC3
protein	EGR3
protein	EGR4
protein	PRKCQ
protein	E2F1
protein	CALM1
protein	IL2
protein	FASLG
protein	CASP3
protein	PPARG
protein	PTGS2
protein	CD40LG
protein	GATA3
protein	DGKA
protein	EGR1
protein	PTPN1
protein	JUNB
protein	CTLA4
protein	FOSL1
protein	POU2F1
protein	CDK4
protein	EGR2
protein	IL8
protein	IL3
protein	SLC3A2
protein	JUN
protein	IL5
protein	IL4
protein	CSF2
protein	IL2RA
protein	IFNG
protein	TNF
protein	FOS
protein	UniProt:O95644-2
protein	UniProt:O95644
protein	UniProt:O75519
protein	MAF
protein	UniProt:O60756
complex	NFAT1/FOXP3
complex	NFAT1-c-4/PPARG
complex	NFAT1-c-4/MAF/IRF4
complex	NFAT1-c-4/ICER1
complex	NFAT1-c-4 (dimer)/EGR4
complex	NFAT1-c-4 (dimer)/EGR1
complex	JunB/Fra1/NFAT1-c-4
complex	Jun/NFAT1-c-4/p21SNFT
complex	CaM/Ca2+/Calcineurin A alpha-beta B1
complex	AP-1/NFAT1-c-4
complex	AP-1/NFAT1
chemical	mol:Ca2+
abstract	activation-induced cell death of T cells
abstract	T-helper 2 cell lineage commitment
abstract	T-helper 2 cell differentiation
abstract	T-helper 1 cell lineage commitment
abstract	T-helper 1 cell differentiation
abstract	T cell anergy
abstract	T cell activation
abstract	CD4-positive CD25-positive alpha-beta regulatory T cell lineage commitment
mol:Ca2+	CaM/Ca2+/Calcineurin A alpha-beta B1	component>
TBX21	IFNG	-t>
BATF3	Jun/NFAT1-c-4/p21SNFT	component>
FOXP3	NFAT1/FOXP3	component>
ITCH	T cell anergy	-ap>
RNF128	IL2	-t|
RNF128	IL4	-t|
RNF128	T cell anergy	-ap>
IRF4	NFAT1-c-4/MAF/IRF4	component>
NFATC2	UniProt:Q9H0R5	-t>
NFATC2	PTPRK	-t>
NFATC2	IKZF1	-t>
NFATC2	EGR3	-t>
NFATC2	CASP3	-t>
NFATC2	DGKA	-t>
NFATC2	PTPN1	-t>
NFATC2	CDK4	-t|
NFATC2	EGR2	-t>
NFATC2	SLC3A2	-t>
NFATC2	IL4	-t>
NFATC2	IFNG	-t>
NFATC2	UniProt:O95644-2	-t>
NFATC2	UniProt:O60756	-t>
NFATC2	T cell anergy	-ap>
NFATC2	NFAT1/FOXP3	component>
NFATC2	NFAT1-c-4/PPARG	component>
NFATC2	NFAT1-c-4/MAF/IRF4	component>
NFATC2	NFAT1-c-4/ICER1	component>
NFATC2	NFAT1-c-4 (dimer)/EGR4	component>
NFATC2	NFAT1-c-4 (dimer)/EGR1	component>
NFATC2	JunB/Fra1/NFAT1-c-4	component>
NFATC2	Jun/NFAT1-c-4/p21SNFT	component>
NFATC2	AP-1/NFAT1-c-4	component>
NFATC2	AP-1/NFAT1	component>
CBLB	T cell anergy	-ap>
NFATC3	EGR3	-t>
NFATC3	CDK4	-t|
NFATC3	EGR2	-t>
NFATC3	UniProt:O95644-2	-t>
NFATC3	NFAT1-c-4/PPARG	component>
