protein	WNT6
protein	UniProt:Q9UQM7
protein	UniProt:Q9UBE8
protein	FZD3
protein	MAP3K7IP1
protein	NFATC2
protein	UniProt:P63092
protein	GNB1
protein	CDC42
protein	GNG2
protein	WNT4
protein	CSNK1A1
protein	WNT5A
protein	PLCG1
protein	YES1
protein	WNT11
protein	UniProt:O60353
protein	MAP3K7
protein	GO:0007205
complex	Noncanonical Wnts/FZD
complex	NFAT1/CK1 alpha
complex	GNB1/GNG2
complex	G protein
chemical	mol:IP3
chemical	mol:DAG
chemical	mol:Ca2+
mol:IP3	mol:Ca2+	-a>
mol:Ca2+	UniProt:Q9UQM7	-a>
mol:Ca2+	GO:0007205	-a>
WNT6	Noncanonical Wnts/FZD	component>
UniProt:Q9UQM7	MAP3K7	-a>
FZD3	Noncanonical Wnts/FZD	component>
MAP3K7IP1	UniProt:Q9UBE8	-a>
NFATC2	NFAT1/CK1 alpha	component>
UniProt:P63092	G protein	component>
GNB1	GNB1/GNG2	component>
GNB1	G protein	component>
CDC42	NFAT1/CK1 alpha	-a>
GNG2	GNB1/GNG2	component>
GNG2	G protein	component>
WNT4	Noncanonical Wnts/FZD	component>
CSNK1A1	NFAT1/CK1 alpha	component>
WNT5A	Noncanonical Wnts/FZD	component>
PLCG1	mol:IP3	-a>
PLCG1	mol:DAG	-a>
PLCG1	GO:0007205	-a>
YES1	CDC42	-a>
WNT11	Noncanonical Wnts/FZD	component>
UniProt:O60353	Noncanonical Wnts/FZD	component>
MAP3K7	UniProt:Q9UBE8	-a>
Noncanonical Wnts/FZD	UniProt:P63092	-a>
Noncanonical Wnts/FZD	YES1	-a>
Noncanonical Wnts/FZD	NFAT1/CK1 alpha	-a>
Noncanonical Wnts/FZD	GNB1/GNG2	-a>
GNB1/GNG2	PLCG1	-a>
